Nr,Date,"<BR>&nbsp,<BR> What is your major?",,"<BR>&nbsp,<BR> Please select your favorite hobby of the choices provided:","<BR>&nbsp,<BR> Have you heard the song ""All These Things I've Done""  by The Killers?","Do you like the song ""All These Things I've Done""  by The Killers?","<BR>&nbsp,<BR> Have you heard the song ""All You Need Is Love""  by The Beatles?","Do you like the song ""All You Need Is Love""  by The Beatles?","<BR>&nbsp,<BR> Have you heard the song ""American Pie""  by Don McLean?","Do you like the song ""American Pie""  by Don McLean?","<BR>&nbsp,<BR> Have you heard the song ""Anarchy in the UK""  by The Sex Pistols?","Do you like the song ""Anarchy in the UK""  by The Sex Pistols?","<BR>&nbsp,<BR> Have you heard the song ""Another One Bites the Dust""  by Queen?","Do you like the song ""Another One Bites the Dust""  by Queen?","<BR>&nbsp,<BR> Have you heard the song ""Bad Blood"" by Taylor Swift?","Do you like the song ""Bad Blood"" by Taylor Swift?","<BR>&nbsp,<BR> Have you heard the song ""Boom Boom Pow"" by The Black Eyed Peas?","Do you like the song ""Boom Boom Pow"" by the Black Eyed Peas?","<BR>&nbsp,<BR> Have you heard the song ""Call Me"" by Blondie?","Do you like the song ""Call Me"" by Blondie?","<BR>&nbsp,<BR> Have you heard the song ""Every Breath You Take"" by The Police?","Do you like the song ""Every Breath You Take"" by The Police?","<BR>&nbsp,<BR> Have you heard the song ""I Will Always Love You"" by  Whitney Houston?","Do you like the song ""I Will Always Love You"" by  Whitney Houston?","<BR>&nbsp,<BR> Have you heard the song ""Imagine"" by  John Lennon?","Do you like the song ""Imagine"" by  John Lennon?","<BR>&nbsp,<BR> Have you heard the song ""Life On Mars?"" by  David Bowie?","Do you like the song ""Life On Mars?"" by  David Bowie?","<BR>&nbsp,<BR> Have you heard the song ""No One"" by  Alicia Keys?","Do you like the song ""No One"" by  Alicia Keys?","<BR>&nbsp,<BR> Have you heard the song ""Party Rock Anthem"" by  LMFAO?","Do you like the song ""Party Rock Anthem"" by  LMFAO?","<BR>&nbsp,<BR> Have you heard the song ""Smells Like Teen Spirit "" by  Nirvana?","Do you like the song ""Smells Like Teen Spirit "" by  Nirvana?","<BR>&nbsp,<BR> Have you heard the song ""Take Me To Church"" by  Hozier?","Do you like the song ""Take Me To Church"" by  Hozier?","<BR>&nbsp,<BR> Have you heard the song ""Tik Tok"" by  Ke$ha?","Do you like the song ""Tik Tok"" by  Ke$ha?"
1,10/14/15 10:11,Math or CMDA,Southeast,sports,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
2,10/14/15 10:22,Math or CMDA,Southeast,sports,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No
3,10/14/15 10:28,Computer Science,Southeast,sports,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No
4,10/14/15 10:29,Computer Science,Southeast,sports,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
5,10/14/15 10:30,Math or CMDA,Southeast,reading,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes
6,10/14/15 10:37,Computer Science,Southeast,music,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No
7,10/14/15 10:42,Computer Science,Southeast,music,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
8,10/14/15 11:10,Other Engineering,Northeast,reading,No,,No,,Yes,Yes,No,,Yes,Yes,No,,Yes,Yes,No,,No,,No,,No,,No,,No,,Yes,Yes,No,,No,,Yes,No
9,10/14/15 11:16,Other,Northeast,sports,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No
10,10/14/15 11:46,Computer Science,Southeast,music,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,,,,,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes
11,10/14/15 12:28,Computer Science,Southeast,reading,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No
12,10/14/15 12:55,Computer Science,Southeast,art,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes
13,10/14/15 13:16,Other,Southeast,music,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
14,10/14/15 13:21,Other,Southeast,music,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
15,10/14/15 13:34,Other Engineering,Northeast,sports,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
