Song Title,Artist,Year,Genre
All These Things I've Done,The Killers,2005,alternative
All You Need Is Love,The Beatles,1967,pop rock
American Pie,Don McLean,1971,folk rock
Anarchy in the UK,The Sex Pistols,1976,punk
Another One Bites the Dust,Queen,1980,disco
Bad Blood,Taylor Swift,2015,pop
Boom Boom Pow,The Black Eyed Peas,2009,hip hop
Call Me,Blondie,1980,dance rock
Every Breath You Take,The Police,1983,rock
I Will Always Love You,Whitney Houston,1973,country
Imagine,John Lennon,1971,soft rock
Life On Mars?,David Bowie,1971,glam rock
No One,Alicia Keys,2007,R&B
Party Rock Anthem,LMFAO,2011,EDM
Smells Like Teen Spirit ,Nirvana,1991,grunge
Take Me To Church,Hozier,2013,indie rock
Tik Tok,Ke$ha,2009,electronic
